"remote_jobs","salary_year_avg","company_name","skills"
"Data Analyst","255829.5","AT&T","sql"
"Data Analyst","255829.5","AT&T","python"
"Data Analyst","255829.5","AT&T","r"
"Data Analyst","255829.5","AT&T","azure"
"Data Analyst","255829.5","AT&T","databricks"
"Data Analyst","255829.5","AT&T","aws"
"Data Analyst","255829.5","AT&T","pandas"
"Data Analyst","255829.5","AT&T","pyspark"
"Data Analyst","255829.5","AT&T","jupyter"
"Data Analyst","255829.5","AT&T","excel"
"Data Analyst","255829.5","AT&T","tableau"
"Data Analyst","255829.5","AT&T","power bi"
"Data Analyst","255829.5","AT&T","powerpoint"
