"job_amount","average_wage","skills"
"1315","123753.95","sql"
"896","127153.52","python"
"723","124907.64","tableau"
"612","120607.70","excel"
"466","126661.91","r"
"368","121256.14","power bi"
"352","123376.55","sas"
"168","120795.95","powerpoint"
"166","128756.83","aws"
"163","128894.48","azure"
"157","127625.30","snowflake"
"156","127024.15","oracle"
"150","121699.25","sql server"
"144","124788.78","looker"
"138","117687.30","word"
"122","130072.32","go"
"121","125543.79","flow"
"119","135550.87","spark"
"87","132420.31","hadoop"
"87","124178.72","jira"
"71","118620.31","sap"
"70","123839.67","vba"
"69","126655.61","alteryx"
"68","129898.98","databricks"
"60","126553.15","java"
"59","115068.88","spss"
"58","137648.64","nosql"
"55","127533.95","redshift"
"55","132441.52","pandas"
"54","129834.86","gcp"
